warm start from artifacts/evidence/session3/cma_gate2.json
baseline score 2.2325
  forward_speed=0.0476  net_over_path=0.5796  hind_swing_load=0.0424  front_stance_load=0.6124  hind_duty=0.6309  limb_phase=0.4237
gen   1/80  best 2.2325  gen-best 2.6143  median 3.8714  20s
gen   2/80  best 2.2325  gen-best 2.7665  median 3.4487  31s
gen   3/80  best 2.2325  gen-best 2.4813  median 3.2748  47s
gen   4/80  best 2.2325  gen-best 2.4315  median 3.3598  95s
gen   5/80  best 2.2325  gen-best 3.0144  median 3.5742  125s
gen   6/80  best 2.2325  gen-best 2.8832  median 3.5332  136s
gen   7/80  best 2.2325  gen-best 2.6478  median 3.5891  147s
gen   8/80  best 2.2325  gen-best 2.6709  median 3.5409  186s
gen   9/80  best 2.2325  gen-best 2.8239  median 3.5910  235s
gen  10/80  best 2.2325  gen-best 2.4889  median 3.6760  263s
gen  11/80  best 2.2325  gen-best 2.6822  median 3.8355  317s
gen  12/80  best 2.2325  gen-best 2.7358  median 3.5300  366s
gen  13/80  best 2.2325  gen-best 2.6037  median 3.4171  417s
gen  14/80  best 2.2325  gen-best 2.6229  median 3.4087  465s
gen  15/80  best 2.2325  gen-best 2.5774  median 3.1208  517s
gen  16/80  best 2.2325  gen-best 2.5157  median 3.1083  574s
gen  17/80  best 2.2325  gen-best 2.6631  median 3.4395  624s
gen  18/80  best 2.2325  gen-best 2.9179  median 3.3908  675s
gen  19/80  best 2.2325  gen-best 2.9215  median 3.4394  725s
gen  20/80  best 2.2325  gen-best 2.8813  median 3.3148  776s
gen  21/80  best 2.2325  gen-best 2.5712  median 3.1031  826s
gen  22/80  best 2.2325  gen-best 2.8430  median 3.5028  876s
gen  23/80  best 2.2325  gen-best 2.6593  median 3.2637  926s
gen  24/80  best 2.2325  gen-best 2.8239  median 3.4344  976s
gen  25/80  best 2.2325  gen-best 2.5732  median 3.4343  1027s
gen  26/80  best 2.2325  gen-best 2.9464  median 3.5219  1077s
gen  27/80  best 2.2325  gen-best 2.7741  median 3.3325  1132s
gen  28/80  best 2.2325  gen-best 2.7530  median 3.3221  1182s
gen  29/80  best 2.2325  gen-best 2.6937  median 3.3553  1232s
gen  30/80  best 2.2325  gen-best 2.7705  median 3.3317  1281s
gen  31/80  best 2.2325  gen-best 2.6095  median 3.3786  1331s
gen  32/80  best 2.2325  gen-best 2.9483  median 3.5126  1381s
gen  33/80  best 2.2325  gen-best 2.7503  median 3.2745  1431s
gen  34/80  best 2.2325  gen-best 2.7237  median 3.4327  1481s
gen  35/80  best 2.2325  gen-best 2.8468  median 3.6646  1530s
gen  36/80  best 2.2325  gen-best 2.6593  median 3.2401  1580s
gen  37/80  best 2.2325  gen-best 2.7339  median 3.2575  1620s
gen  38/80  best 2.2325  gen-best 2.6636  median 3.2775  1671s
gen  39/80  best 2.2325  gen-best 2.6592  median 3.3080  1726s
gen  40/80  best 2.2325  gen-best 2.6483  median 2.9838  1776s
gen  41/80  best 2.2325  gen-best 2.6612  median 3.4874  1824s
gen  42/80  best 2.2325  gen-best 2.8315  median 3.3449  1874s
gen  43/80  best 2.2325  gen-best 2.7499  median 3.4408  1925s
gen  44/80  best 2.2325  gen-best 2.9577  median 3.1818  1990s
gen  45/80  best 2.2325  gen-best 2.7703  median 3.3797  2041s
gen  46/80  best 2.2325  gen-best 2.6997  median 3.4448  2090s
gen  47/80  best 2.2325  gen-best 2.5119  median 3.1012  2140s
gen  48/80  best 2.2325  gen-best 3.2258  median 3.4847  2189s
gen  49/80  best 2.2325  gen-best 2.7014  median 3.6610  2239s
gen  50/80  best 2.2325  gen-best 2.7837  median 3.4867  2289s
gen  51/80  best 2.2325  gen-best 2.6765  median 3.4449  2342s
gen  52/80  best 2.2325  gen-best 2.7167  median 3.4921  2393s
gen  53/80  best 2.2325  gen-best 2.9869  median 3.5196  2442s
gen  54/80  best 2.2325  gen-best 2.5663  median 3.4250  2459s
gen  55/80  best 2.2325  gen-best 2.7913  median 3.2412  2470s
gen  56/80  best 2.2325  gen-best 2.6937  median 3.3081  2481s
gen  57/80  best 2.2325  gen-best 2.6545  median 3.2088  2493s
gen  58/80  best 2.2325  gen-best 2.6822  median 3.4710  2503s
gen  59/80  best 2.2325  gen-best 2.4468  median 3.1894  2514s
gen  60/80  best 2.2325  gen-best 2.5157  median 3.1476  2525s
