DA,none,part,cln,dist,mltp,eff_mn,dis_mn
0.0,100.0,0.0,0.0,0.0,0.0,,
0.01,100.0,0.0,0.0,0.0,0.0,,
0.02,100.0,0.0,0.0,0.0,0.0,,
0.03,64.219,35.781,0.0,0.0,0.0,0.098,0.0
0.04,40.604,59.396,0.0,0.0,0.0,0.149,0.0
0.05,31.938,68.062,0.0,0.0,0.0,0.215,0.0
0.06,27.674,72.326,0.0,0.0,0.0,0.285,0.0
0.07,24.066,75.934,0.0,0.0,0.0,0.354,0.0
0.08,20.576,79.424,0.0,0.0,0.0,0.422,0.0
0.09,17.322,82.678,0.0,0.0,0.0,0.489,0.0
0.1,14.518,85.482,0.0,0.0,0.0,0.555,0.0
0.11,13.214,86.786,0.0,0.0,0.0,0.63,0.0
0.12,12.548,77.159,10.293,0.0,0.0,0.706,0.0
0.13,10.764,66.415,22.821,0.0,0.0,0.764,0.0
0.14,7.686,57.612,34.702,0.0,0.0,0.798,0.0
0.15,4.96,49.181,45.858,0.0,0.0,0.824,0.009
0.16,4.735,39.437,55.828,0.0,0.0,0.863,0.019
0.17,4.696,31.791,63.513,0.0,0.0,0.894,0.027
0.18,4.666,25.38,69.954,0.0,0.0,0.918,0.035
0.19,4.627,20.086,75.287,0.0,0.0,0.938,0.041
0.2,4.323,16.724,78.61,0.343,0.0,0.954,0.046
0.21,4.323,13.577,80.267,1.833,0.0,0.969,0.051
0.22,4.274,10.724,80.541,4.46,0.0,0.98,0.056
0.23,4.274,7.156,80.247,8.323,0.0,0.99,0.062
0.24,4.254,3.323,79.394,12.636,0.392,0.996,0.069
0.25,4.225,0.921,78.179,13.999,2.676,0.999,0.076
0.26,4.215,0.088,76.943,12.577,6.176,1.0,0.084
0.27,4.196,0.01,75.718,10.175,9.901,1.0,0.091
0.28,4.186,0.0,74.473,8.195,13.146,1.0,0.098
0.29,4.166,0.01,73.159,6.735,15.93,1.0,0.104
0.3,3.872,0.01,72.189,5.833,18.096,1.0,0.11
0.31,3.843,0.01,70.954,5.509,19.684,1.0,0.115
0.32,3.823,0.029,69.748,5.627,20.772,1.0,0.12
0.33,3.794,0.039,68.572,6.019,21.576,1.0,0.124
0.34,3.784,0.039,67.415,6.637,22.125,1.0,0.128
0.35,3.764,0.039,66.337,7.411,22.449,1.0,0.132
0.36,3.735,0.059,65.229,8.225,22.753,0.999,0.136
0.37,3.725,0.049,64.249,8.921,23.057,1.0,0.139
0.38,3.715,0.049,63.484,9.391,23.36,1.0,0.143
0.39,3.686,0.069,62.68,9.832,23.733,0.999,0.147
0.4,3.411,0.059,62.151,10.313,24.066,0.999,0.15
0.41,3.392,0.069,61.376,10.666,24.498,0.999,0.154
0.42,3.362,0.088,60.533,11.097,24.919,0.999,0.158
0.43,3.343,0.098,59.749,11.479,25.331,0.999,0.162
0.44,3.323,0.088,59.014,11.705,25.87,0.999,0.166
0.45,3.304,0.108,58.347,11.891,26.35,0.999,0.17
0.46,3.294,0.108,57.592,12.107,26.899,0.999,0.174
0.47,3.274,0.127,56.887,12.303,27.409,0.999,0.178
0.48,3.255,0.118,56.259,12.371,27.997,0.999,0.182
0.49,3.127,0.235,55.612,12.499,28.527,0.998,0.185
0.5,3.088,0.274,55.053,12.479,29.105,0.997,0.189
0.51,3.068,0.274,54.475,12.528,29.654,0.997,0.192
0.52,2.951,0.127,54.132,12.518,30.272,0.999,0.195
0.53,2.931,0.147,53.593,12.489,30.84,0.999,0.198
0.54,2.911,0.147,53.044,12.499,31.399,0.999,0.201
0.55,2.892,0.157,52.544,12.499,31.909,0.999,0.204
0.56,2.784,0.255,51.985,12.577,32.399,0.998,0.206
0.57,2.764,0.265,51.475,12.607,32.889,0.998,0.209
0.58,2.735,0.284,50.956,12.656,33.369,0.997,0.212
0.59,2.706,0.314,50.446,12.705,33.83,0.997,0.215
0.6,2.696,0.304,49.966,12.705,34.33,0.997,0.217
,,,,,,,
